priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,starter,구절판,Shilla course reference,구절판,traditional platter service,ceremonial composition|delicate variety|refined opening,room,0.12,0.08,0.04,0.10,0.24,0.06,0.42,0.10,0.72,0.16,0.00,0.26,0.22,0.10,0.72,"Gujeolpan reads as a ritualized opening course with many small bites, emphasizing balance and formal presentation over a single dominant taste.","The public guide confirms gujeolpan but not the exact fillings or sauces in the current menu"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,starter,닭과 인삼을 넣은 차가운 두유 국물,Shilla course reference,닭|인삼|두유,chilled broth,soy softness|cool herbal lift|silky savory texture,cold,0.12,0.10,0.04,0.08,0.36,0.18,0.54,0.12,0.70,0.18,0.00,0.34,0.30,0.12,0.74,"The cold soy broth with chicken and ginseng likely balances silky body with cooling herbal nuance, setting a more contemplative dinner rhythm.","The public guide does not disclose thickness, garnish, or exact chicken preparation"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,starter,소고기와 버섯 만두,Shilla course reference,소고기|버섯|만두,dumpling,forest aroma|savory body|soft lingering warmth,warm,0.10,0.04,0.04,0.12,0.58,0.16,0.18,0.18,0.54,0.28,0.00,0.42,0.34,0.24,0.76,"Beef and mushroom dumplings suggest a warmer and more aromatic savory course than the opening bites, but still with controlled weight.","The wrapper style and broth or sauce accompaniment are not stated publicly"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,fish,장어구이,Shilla course reference,장어,grilling,glossy richness|sweet-savory glaze|marine depth,hot,0.18,0.04,0.02,0.18,0.62,0.30,0.18,0.34,0.34,0.46,0.10,0.24,0.36,0.38,0.78,"Grilled eel likely adds one of the richer marine moments in the dinner progression, with longer linger and more savory glaze character.","The guide does not confirm charcoal level, glaze sweetness, or supporting garnish"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,main,숯불 한우 등심,Shilla course reference,한우 등심,char-grilling,charred beef umami|fatty core|long warm finish,hot,0.08,0.04,0.04,0.18,0.88,0.52,0.16,0.62,0.24,0.74,0.18,0.34,0.46,0.54,0.82,"Char-grilled hanwoo sirloin should deliver the deepest beef umami and heaviest body in the dinner lineup.","Specific cut weight, sauce, and seasonal side vegetables are not public"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,main,떡갈비,Shilla course reference,다진 한우|양념,patty grilling,sweet-savory glaze|dense chew|comforting finish,hot,0.18,0.04,0.02,0.18,0.74,0.30,0.14,0.44,0.30,0.58,0.10,0.26,0.42,0.42,0.78,"Tteokgalbi likely reads sweeter and rounder than sirloin, with a compact texture and a familiar savory finish.","The public guide lists the choice but not the current garnish or exact seasoning ratio"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,guide_article,"La Yeon public dining guide overview (accessed 2026-03-29)",https://kr.hotels.com/go/south-korea/la-yeon,0.86,public reference dinner,main,갈비찜,Shilla course reference,갈비,braising,deep soy richness|gelatinous texture|slow lingering finish,hot,0.20,0.04,0.02,0.20,0.82,0.38,0.12,0.52,0.26,0.66,0.00,0.24,0.48,0.46,0.80,"Braised galbijjim suggests the softest and most deeply seasoned beef option, with strong linger and notable body.","The exact sauce reduction and plating format are not described publicly"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,official_page,"The Shilla Seoul La Yeon dining page (accessed 2026-03-29)",https://www.shilla.net/seoul/dining/viewDining.do?contId=KRN,0.98,public reference dinner,other,헤어룸 솥밥,Heirloom Sot-bap,쌀,sot-bap,grain comfort|quiet umami|warm composed close,hot,0.14,0.04,0.02,0.08,0.30,0.06,0.20,0.14,0.72,0.18,0.00,0.18,0.26,0.28,0.68,"The official page exposes Heirloom Sot-bap as a current-course label, implying a composed rice course that quiets the heavier mains.","The exact heirloom ingredient set is not visible beyond the English course label on the page"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,official_page,"The Shilla Seoul La Yeon dining page (accessed 2026-03-29)",https://www.shilla.net/seoul/dining/viewDining.do?contId=KRN,0.98,public reference dinner,dessert,진달래 셔벗,Azalea Sorbet,진달래|셔벗,sorbet,floral brightness|icy refreshment|clean reset,cold,0.34,0.32,0.02,0.02,0.04,0.02,0.86,0.02,0.88,0.08,0.00,0.26,0.06,0.04,0.82,"Azalea sorbet appears on the official page as a floral and highly cleansing dessert course, likely designed to reset the palate cleanly.","The page shows only the course label and not the exact sweetness or garnish"
P1,La Yeon,la-yeon-seoul,Kim Sung-il,Seoul,official_page,"The Shilla Seoul La Yeon dining page (accessed 2026-03-29)",https://www.shilla.net/seoul/dining/viewDining.do?contId=KRN,0.98,public reference dinner,dessert,쑥 아이스크림,Mugwort Ice Cream,쑥|아이스크림,ice cream,herbal sweetness|cool lingering finish|earthy aroma,cold,0.40,0.10,0.10,0.02,0.04,0.18,0.34,0.18,0.54,0.26,0.00,0.44,0.22,0.10,0.80,"Mugwort ice cream likely closes with restrained sweetness and a distinctly herbal lingering note rather than bright fruit acidity.","Only the label is visible on the official page, so dairy richness and garnish remain inferred"
