priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,amuse,제철 작은 요리,디너 오마카세 개요,제철 재료,small plate,seasonal elegance|quiet opening|ceremonial pacing,room,0.10,0.08,0.04,0.08,0.20,0.06,0.34,0.08,0.74,0.12,0.00,0.24,0.18,0.10,0.68,"The dinner article frames Sosuheon as a calm hanok omakase, so the opening seasonal bites are modeled as refined and disciplined rather than dramatic.","The profile story does not specify which small dishes rotate on the current date"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,starter,대게,디너 오마카세 개요,대게,crab preparation,sweet shellfish umami|clean marine finish|fine texture,cool,0.18,0.06,0.02,0.12,0.54,0.08,0.42,0.08,0.76,0.18,0.00,0.24,0.28,0.06,0.74,"Snow crab likely provides one of the sweeter shellfish notes early in the dinner sequence while preserving the restaurant's clean sushi-counter precision.","The article does not disclose whether it is served as leg meat, chawanmushi garnish, or another composed style"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,fish,벚꽃도미 찜,디너 오마카세 개요,벚꽃도미,steaming,soft marine savoriness|gentle warmth|clean finish,warm,0.06,0.08,0.02,0.12,0.46,0.08,0.28,0.10,0.74,0.18,0.00,0.22,0.22,0.20,0.72,"Steamed sea bream fits the article's restrained omakase flow, offering delicacy and warmth before grilled and nigiri-heavy turns.","Sauce, broth, and garnish are not specified publicly"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,fish,갈치구이,디너 오마카세 개요,갈치,grilling,clean fish oil|light char|savory crispness,hot,0.06,0.04,0.02,0.12,0.50,0.16,0.18,0.18,0.62,0.24,0.10,0.20,0.26,0.28,0.72,"Grilled hairtail likely introduces a warm, lightly charred bridge between composed fish dishes and nigiri progression.","The public article does not describe seasoning or charcoal intensity"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,전어 니기리,디너 오마카세 개요,전어|샤리,nigiri,bright silver-fish oil|compact bite|clean acid lift,cool,0.04,0.10,0.02,0.12,0.50,0.16,0.52,0.10,0.72,0.22,0.00,0.24,0.24,0.06,0.76,"Gizzard shad nigiri is modeled as bright and lightly oily, with a sharper, cleaner edge than the richer shellfish and tuna pieces that follow.","The article confirms the species but not the precise curing or vinegar treatment"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,갑오징어 니기리,디너 오마카세 개요,갑오징어|샤리,nigiri,clean sweetness|firm snap|quiet marine finish,cool,0.12,0.04,0.02,0.08,0.34,0.04,0.40,0.06,0.80,0.14,0.00,0.18,0.30,0.04,0.78,"Cuttlefish nigiri should read cleaner and sweeter than oily fish, emphasizing texture precision and controlled sweetness.","The current knife work and topping are not described in the public profile"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,전복 니기리,디너 오마카세 개요,전복|샤리,nigiri,chewy shellfish umami|mineral savoriness|controlled linger,cool,0.06,0.04,0.02,0.10,0.56,0.06,0.26,0.10,0.74,0.22,0.00,0.20,0.34,0.06,0.78,"Abalone nigiri likely adds more mineral umami and chew than cuttlefish, but still within a disciplined sushi-counter format.","Cooking degree and seasoning are not specified publicly"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,전갱이 니기리,디너 오마카세 개요,전갱이|샤리,nigiri,bright silver fish note|compact rice bite|clean umami,cool,0.04,0.08,0.02,0.12,0.52,0.12,0.42,0.12,0.72,0.22,0.00,0.22,0.24,0.08,0.76,"Horse mackerel nigiri should feel cleaner and slightly brighter than the fattier winter fish in the later sequence.","The article does not confirm whether ginger, scallion, or citrus is used"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,방어 니기리,디너 오마카세 개요,방어|샤리,nigiri,rich fish oil|winter depth|longer finish,cool,0.04,0.04,0.02,0.12,0.64,0.26,0.22,0.24,0.56,0.34,0.00,0.20,0.28,0.06,0.78,"Yellowtail nigiri likely provides a richer winter-fat note and a longer finish than the silver fish pieces before it.","The profile article does not reveal aging time or brush sauce"
P1,Sosuheon,sosuheon-seoul,Park Kyung-jae,Seoul,news_article,"Cook&Chef Sosuheon profile (published 2025-12-09)",https://cooknchefnews.com/news/view/1065590534958931,0.94,2025-12 public reference dinner,other,참치 니기리,디너 오마카세 개요,참치|샤리,nigiri,dense tuna umami|soft fat|longer finish,cool,0.06,0.04,0.02,0.12,0.82,0.28,0.22,0.30,0.54,0.38,0.00,0.22,0.30,0.06,0.80,"Tuna nigiri likely anchors the richest end of the nigiri arc with the deepest umami and the most persistent finish.","The article does not specify whether the course uses akami, chutoro, or otoro"
