priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",amuse,BANCHAN,,BANCHAN,menu image OCR,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",starter,TRUFFLE MUGUK,,TRUFFLE MUGUK,named course from menu image,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",starter,ABALONE,,ABALONE,named course from menu image,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",fish,JUNGSIK SALMON,,JUNGSIK SALMON,seafood or fish course from menu image,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",main,DUCK OR HANWOO GALBI,,DUCK OR HANWOO GALBI,main course from menu image,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P2,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",other,GAMTAE GUKSU,,GAMTAE GUKSU,menu image OCR,OCR-derived menu title,mixed,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",dessert,HWACHAE,ADD SEA URCHIN + 40.00,HWACHAE,dessert course from menu image,OCR-derived menu title,room,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",dessert,DOLHAREUBANG OR NY-SEOUL,,DOLHAREUBANG OR NY-SEOUL,dessert course from menu image,OCR-derived menu title,room,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P1,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",dessert,GOGUMA,,GOGUMA,dessert course from menu image,OCR-derived menu title,room,,,,,,,,,,,,,,,,Auto-generated from Catchtable OCR output. Review and refine before seed generation.,"OCR-derived row. Confirm spelling, order, and course type against the menu image."
P2,JUNGSIK,jungsik,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature KRW 230,000 menu image (Last update: Feb 28, 2026)",http://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,"Feb 28, 2026 lunch",other,ALL IN ONE GIMBAP,"KRW 200,000",ALL IN ONE GIMBAP,supplement item from menu image,OCR-derived supplement label,room,,,,,,,,,,,,,,,,Auto-generated supplement row from Catchtable OCR output. Review before seed generation.,OCR-derived supplement. Confirm title spelling and price against the menu image.
