priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,snack,주나미 쌀,junami rice,쌀,rice course,gentle grain sweetness|calm opening|soft warm body,warm,0.18,0.04,0.02,0.06,0.16,0.04,0.18,0.08,0.62,0.14,0.00,0.14,0.20,0.24,0.64,"A rice-led opening course is likely designed as a calm foundation with low heaviness, restrained savoriness, and a gentle grain sweetness rather than a strong first punch.","The menu image only gives the title, so the exact rice cultivar, garnish, and preparation are not public"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,snack,부각,bugak,부각,dehydration|frying,crisp salt lift|light savory crunch|short finish,room,0.06,0.04,0.04,0.18,0.18,0.08,0.22,0.08,0.56,0.14,0.00,0.18,0.34,0.08,0.68,"Bugak generally introduces crisp texture, restrained salinity, and a short savory finish, making it suitable as a small opening texture contrast.","The exact ingredient used for the bugak is not specified on the menu image"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,starter,더덕,deodeok root,더덕,root preparation,root bitterness|aromatic lift|earthy clean line,warm,0.10,0.06,0.18,0.06,0.18,0.04,0.32,0.08,0.58,0.18,0.00,0.42,0.22,0.18,0.72,"Deodeok usually brings aromatic bitterness and a clean earthy line, so it is modeled as a root-focused course with higher aroma than richness.","Preparation style, seasoning, and whether smoke is involved are not visible on the menu"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,starter,봄동,bomdong,봄동,leaf vegetable plating,green freshness|mild bitterness|clean vegetable finish,cool,0.08,0.10,0.10,0.04,0.10,0.02,0.54,0.04,0.74,0.12,0.00,0.20,0.12,0.06,0.70,"A bomdong course likely works as a clean leafy interlude with freshness and slight bitterness rather than a dense savory moment.","The image marks this as a +75,000 supplement, and the supporting components are not public"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,starter,한재 미나리,hanjae parsley,미나리,herb-focused course,bright herb aroma|watery freshness|sharp clean reset,cool,0.06,0.18,0.08,0.04,0.08,0.02,0.72,0.02,0.82,0.10,0.00,0.46,0.10,0.06,0.74,"Minari-centered dishes usually read as highly aromatic, green, and cleansing, so the profile emphasizes brightness and clean finish over weight.","The menu only provides the title, so dressing, protein pairing, and temperature remain unknown"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,fish,생선 조림,fish jorim,생선 조림,braising|jorim,reduced savory depth|warm fish body|lingering sauce finish,hot,0.08,0.10,0.04,0.22,0.70,0.16,0.20,0.28,0.36,0.54,0.00,0.28,0.34,0.40,0.78,"A jorim course strongly suggests concentrated braised savory flavor with moderate salinity and a longer sauce-driven finish than the earlier vegetable courses.","Fish species, broth base, and sweetness level of the jorim are not public"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,other,삼계탕,samgyetang,삼계탕,broth reinterpretation,comforting poultry savoriness|herbal warmth|soft restorative body,hot,0.12,0.06,0.04,0.10,0.52,0.18,0.18,0.18,0.56,0.26,0.00,0.28,0.28,0.46,0.76,"Samgyetang in a fine-dining lunch sequence likely acts as a warm restorative pivot with poultry umami, herbal lift, and more comfort than heaviness.","The exact deconstruction level, stock concentration, and ginseng prominence are not listed on the image"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,main,불고기,bulgogi,불고기,grilling|marination,sweet-savory beef core|glossy finish|main-course warmth,hot,0.22,0.08,0.02,0.18,0.76,0.28,0.18,0.34,0.34,0.50,0.06,0.34,0.38,0.42,0.80,"Bulgogi strongly implies a sweet-savory beef core with a warmer and fuller finish than the preceding broth and fish courses, making it the lunch menu's likely meat peak.","The exact cut, marinade balance, and charcoal intensity are not public"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,dessert,군고구마,baked sweet potato,고구마,baking,earthy sweetness|soft roasted finish|comforting close,warm,0.62,0.06,0.04,0.02,0.06,0.12,0.18,0.16,0.48,0.26,0.00,0.22,0.24,0.18,0.72,"Baked sweet potato dessert likely closes with earthy sweetness and a gentle roasted softness rather than bright acidity.","The menu presents this as one of two dessert options, so the exact accompaniment is unknown"
P1,Eatanic Garden,eatanic-garden-seoul,Son Jong-won,Seoul,menu,"Eatanic Garden Lunch Menu (user-provided image)",user-provided-image,0.98,undated lunch menu,dessert,옥광밤,okgwang chestnut,밤,chestnut dessert,nutty sweetness|denser dessert body|layered autumnal finish,warm,0.56,0.04,0.04,0.02,0.08,0.16,0.14,0.20,0.42,0.30,0.00,0.24,0.26,0.16,0.70,"A chestnut dessert usually carries a denser nutty sweetness and slightly richer finish than baked sweet potato, while still staying gentle rather than sharp.","The image marks this as a +85,000 supplement and does not reveal the full dessert composition"
