priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,amuse,감 & 한우 브레사올라,"Persimmon and Hanwoo bresaola","감|한우","cured beef preparation","sweet-savory opening|light cured aroma",room,0.42,0.06,0.02,0.12,0.28,0.18,0.30,0.18,0.44,0.26,0.00,0.24,0.22,0.10,0.72,"The menu explicitly names persimmon and Hanwoo bresaola, suggesting a lightly sweet, savory opening bite with moderate umami and relatively clean finish.","Seasoning, garnish, and serving temperature are not shown on the menu|fat intensity is inferred from bresaola-style preparation"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,starter,제주 구좌 당근 스프,"부라타 치즈와 참기름, 성게","제주 구좌 당근|부라타 치즈|참기름|성게","soup","sweet vegetal body|creamy richness|sea urchin umami",warm,0.46,0.08,0.02,0.14,0.64,0.44,0.20,0.52,0.24,0.54,0.00,0.42,0.60,0.38,0.84,"Carrot soup with burrata, sesame oil, and sea urchin implies high sweetness from carrot, rich dairy-fat texture, and pronounced marine umami layered over a warm soup base.","Exact stock, dairy ratio, and finishing acid are not listed|salinity is inferred from sea urchin and seasoning assumptions"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,starter,한국식 계절 생선회,"Korean-style seasonal sashimi","계절 생선","raw slicing","clean marine tone|seasonal delicacy|fresh finish",cool,0.02,0.08,0.02,0.16,0.46,0.08,0.42,0.10,0.62,0.20,0.00,0.24,0.18,0.12,0.68,"The menu clearly identifies a Korean-style seasonal raw fish course, which usually reads as delicate, bright, and cleaner than later hot courses.","Specific fish species, seasoning, and sauce are not disclosed|brightness and salinity are inferred from typical sashimi-style service"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,starter,한우 육회와 장어,"매실 고추장","한우 육회|장어|매실 고추장","raw beef preparation","sweet-savory heat|fermented fruit acidity|dense umami",room,0.18,0.24,0.02,0.22,0.76,0.34,0.40,0.34,0.30,0.46,0.00,0.38,0.40,0.16,0.82,"Hanwoo yukhoe and eel already suggest concentrated umami and fat, while plum gochujang likely adds acidity, sweetness, and a brighter fermented finish.","Spice level and eel preparation are not visible on the menu|bitterness remains inferred near zero"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,starter,배와 배추를 겹겹이 쌓은 밀푀유,"캐비아, 오미자, 초고추장, 왕우럭조개","배|배추|캐비아|오미자|초고추장|왕우럭조개","layering","bright acidity|briny lift|crisp layered texture",cool,0.16,0.44,0.02,0.28,0.58,0.10,0.72,0.12,0.56,0.28,0.00,0.34,0.30,0.10,0.88,"Pear, cabbage, omija, cho-gochujang, caviar, and shellfish indicate a highly structured bright dish with acid lift, marine salinity, and relatively low heaviness.","Exact shellfish cooking and sauce proportions are unknown|sweetness depends on pear ripeness and omija balance"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,main,밍글링 팟,"2가지 만두, 버섯 지단, 은행, 해삼 & 새우전, 한우 브로스","생선 만두|배추와 한우 만두|버섯 지단|은행|해삼|새우전|한우 브로스","broth concentration|dumpling course","deep broth umami|layered Korean savory density|long finish",hot,0.06,0.08,0.04,0.24,0.94,0.26,0.14,0.48,0.30,0.82,0.00,0.56,0.54,0.62,0.94,"This course explicitly includes Hanwoo broth, dumplings, seafood, mushrooms, and ginkgo, making it the clearest high-umami, long-linger signature course on the menu.","Broth salt concentration and dumpling filling ratios are not public|fat level may vary depending on broth reduction"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,fish,생선구이,"쌀 튀밥, 생선 보푸라기 죽, 캐비아 어란","생선구이|쌀 튀밥|생선 보푸라기 죽|캐비아|어란","grilling|porridge accompaniment","toasted grain note|marine salinity|soft savory finish",hot,0.04,0.08,0.04,0.34,0.78,0.20,0.24,0.30,0.34,0.58,0.08,0.42,0.46,0.54,0.83,"Grilled fish with puffed rice, fish porridge, caviar, and bottarga suggests a strong marine savory profile, moderate salinity, and soft lingering warmth from the porridge element.","Fish species and exact broth/liquid composition are unspecified|smoke depends on grill intensity not shown in the menu"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,main,찹쌀밥,"벚꽃 새우, 서해안 대하구이, 막걸리 비스큐 소스","찹쌀밥|벚꽃 새우|서해안 대하구이|막걸리 비스큐","grilling|bisque sauce","sweet shellfish richness|grainy body|fermented sauce depth",hot,0.12,0.10,0.02,0.22,0.82,0.36,0.22,0.42,0.26,0.64,0.06,0.46,0.52,0.56,0.86,"Glutinous rice with sakura shrimp, grilled prawns, and a makgeolli bisque points to shellfish umami, moderate richness, and a long, creamy-fermented finish.","Makgeolli bisque acidity and sweetness are inferred|shellfish intensity depends on sauce concentration"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,main,한우구이,"전복 한우 순대, 맑은 비프 쥬, 산초 장아찌, 엔다이브 김치","한우구이|전복 한우 순대|비프 쥬|산초 장아찌|엔다이브 김치","grilling|clear jus","dense beef umami|fatty core|pickled relief",hot,0.06,0.18,0.04,0.20,0.90,0.52,0.34,0.62,0.28,0.74,0.10,0.48,0.58,0.60,0.90,"Beef, abalone-Hanwoo sundae, and clear beef jus imply the menu's heaviest umami and fat core, while sancho pickle and endive kimchi likely provide acidity and bitterness for relief.","Exact beef cut, jus reduction, and kimchi intensity are not specified|bitterness may be higher if endive dominates"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,dessert,스윗 비빔밥,"찹쌀밥 푸딩, 인삼 아이스크림, 밍글스 간장, 뿌리채소","찹쌀밥 푸딩|인삼 아이스크림|간장|뿌리채소","dessert reinterpretation","sweet-savory contrast|earthy aroma|layered dessert finish",cool,0.58,0.08,0.06,0.10,0.22,0.18,0.18,0.24,0.42,0.38,0.00,0.38,0.32,0.20,0.84,"The course explicitly combines sticky-rice pudding, ginseng ice cream, ganjang, and root vegetables, indicating a sweet-savory dessert with earthy aromatics and moderate lingering finish.","Exact sweetness level and ganjang salinity are not shown|ginseng bitterness is inferred and may vary"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Lunch Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 lunch,dessert,아이스 호떡,"밤꿀 아이스크림, 생강청에 절인 브리오슈와 떡, 시나몬 튀일","밤꿀 아이스크림|생강청|브리오슈|떡|시나몬 튀일","frozen dessert|pickled ginger syrup","honeyed sweetness|warm spice aroma|soft-rich dessert",cold,0.74,0.12,0.06,0.04,0.08,0.24,0.24,0.30,0.34,0.46,0.00,0.44,0.36,0.18,0.80,"Chestnut honey ice cream, ginger preserve, brioche, rice cake, and cinnamon tuile suggest a sweeter, warmer-spiced dessert with moderate richness and aromatic lift.","This dessert is one of two options, so guest exposure is conditional|acidity depends on ginger preserve intensity"
