priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,snack,오늘의 스페셜 바이트,"제주 구좌 당근 스프, 부라타 치즈와 참기름, 성게","제주 구좌 당근|부라타 치즈|참기름|성게","soup","sweet vegetal body|creamy richness|sea urchin umami",warm,0.46,0.08,0.02,0.14,0.64,0.44,0.20,0.52,0.24,0.54,0.00,0.42,0.60,0.38,0.88,"The dinner image explicitly presents this as today's special bite with carrot soup, burrata, sesame oil, and sea urchin, indicating layered sweetness, dairy-fat richness, and marine umami in a compact opening course.","Broth base and acid balance are not listed|the exact serving size and temperature are inferred from soup format"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,snack,방어 & 캐비아 젓갈,"Yellowtail with caviar jeotgal","방어|캐비아 젓갈","raw or lightly cured seafood preparation","briny marine intensity|clean fatty fish|salty lift",cool,0.02,0.08,0.02,0.34,0.62,0.18,0.44,0.14,0.54,0.28,0.00,0.36,0.24,0.12,0.82,"Yellowtail and caviar jeotgal strongly suggest a cool marine bite with pronounced salinity and umami while keeping a relatively clean finish from the fish's natural texture.","Exact treatment of the yellowtail and jeotgal ratio are not visible|fat and acidity remain inferred"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,snack,감 & 한우 브레사올라,"Persimmon and Hanwoo bresaola","감|한우","cured beef preparation","sweet-savory opening|light cured aroma",room,0.42,0.06,0.02,0.12,0.28,0.18,0.30,0.18,0.44,0.26,0.00,0.24,0.22,0.10,0.76,"The menu explicitly names persimmon and Hanwoo bresaola, suggesting a lightly sweet, savory bite with moderate umami and clean finish.","Seasoning, garnish, and curing intensity are not shown on the menu image"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,snack,감태롤,"Gamtae roll","감태","roll construction","seaweed aroma|clean marine savory note",cool,0.02,0.04,0.02,0.12,0.44,0.08,0.34,0.10,0.60,0.20,0.00,0.34,0.18,0.08,0.62,"The menu explicitly names a gamtae roll, which suggests a seaweed-led aromatic bite with clean marine savoriness and relatively low heaviness.","Filling and seasoning are not shown on the menu image|salt and umami levels depend on the hidden interior components"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,snack,제주소산 금태,"Jeju golden tilefish","금태","fish preparation","soft fatty fish|delicate marine umami",warm,0.02,0.06,0.02,0.16,0.62,0.26,0.28,0.22,0.48,0.32,0.00,0.28,0.26,0.18,0.64,"Jeju kinmedai usually implies delicate fish oil richness and soft savory density, so the inferred profile emphasizes umami and moderate fat without excessive linger.","Cooking method is not shown in the image|temperature and sauce support remain inferred"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,starter,한우 육회와 장어,"매실 고추장","한우 육회|장어|매실 고추장","raw beef preparation","sweet-savory heat|fermented fruit acidity|dense umami",room,0.18,0.24,0.02,0.22,0.76,0.34,0.40,0.34,0.30,0.46,0.00,0.38,0.40,0.16,0.84,"Hanwoo yukhoe and eel imply concentrated umami and fat, while plum gochujang likely adds brightness, acidity, and sweetness to keep the course from becoming too heavy.","Spice level and eel treatment are not visible|fat dominance depends on portion ratio"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,starter,배와 배추를 겹겹이 쌓은 밀푀유,"캐비아, 오미자, 초고추장, 왕우럭조개","배|배추|캐비아|오미자|초고추장|왕우럭조개","layering","bright acidity|briny lift|crisp layered texture",cool,0.16,0.44,0.02,0.28,0.58,0.10,0.72,0.12,0.56,0.28,0.00,0.34,0.30,0.10,0.90,"Pear, cabbage, omija, cho-gochujang, caviar, and shellfish point to a highly structured bright dish with acid lift, marine salinity, and low heaviness.","Exact shellfish preparation and sauce proportions are not public|sweetness depends on pear ripeness and omija balance"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,"Mingles Dinner Menu 2026-01-08 (user-provided image)",user-provided-image,0.98,2026-01-08 dinner,main,밍글링 팟,"2가지 만두, 버섯 지단, 은행, 해삼 & 새우전, 한우 브로스","생선 만두|배추와 한우 만두|버섯 지단|은행|해삼|새우전|한우 브로스","broth concentration|dumpling course","deep broth umami|layered Korean savory density|long finish",hot,0.06,0.08,0.04,0.24,0.94,0.26,0.14,0.48,0.30,0.82,0.00,0.56,0.54,0.62,0.95,"This dish explicitly includes Hanwoo broth, dumplings, seafood, mushrooms, and ginkgo, making it the clearest high-umami, long-linger signature course in the dinner sequence.","Broth reduction and dumpling filling ratios are not public|fat level may vary depending on broth concentration"
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,Mingles Dinner Menu 2026-01-08 (user-provided image),user-provided-image,0.98,2026-01-08 dinner,component,생선 만두,밍글링 팟 구성: 생선 만두,생선 만두,dumpling,soft savory filling|broth-friendly texture|gentle marine umami,hot,0.04,0.04,0.02,0.14,0.58,0.12,0.18,0.16,0.50,0.26,0.00,0.22,0.30,0.24,0.68,"As a fish dumpling inside Mingling Pot, this component likely carries gentle marine umami and a soft texture that absorbs the Hanwoo broth rather than dominating it.",Exact fish species and seasoning are not listed|wrapper thickness and broth absorption are inferred
P1,Mingles,mingles-seoul,Mingoo Kang,Seoul,menu,Mingles Dinner Menu 2026-01-08 (user-provided image),user-provided-image,0.98,2026-01-08 dinner,component,배추 & 한우 만두,밍글링 팟 구성: 배추와 한우 만두,배추|한우 만두,dumpling,cabbage sweetness|beefy savory core|soft juicy body,hot,0.08,0.04,0.02,0.14,0.70,0.18,0.16,0.24,0.42,0.34,0.00,0.24,0.34,0.24,0.72,"Cabbage and Hanwoo dumpling suggests a sweeter and denser savory profile than the fish dumpling, with more umami and a slightly richer linger in broth.",Hanwoo fat ratio and cabbage sweetness are not visible on the menu image
