priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,amuse,반찬,BANCHAN,계절 반찬,curated banchan service,layered opening seasoning|palate wake-up|varied texture,mixed,0.12,0.10,0.08,0.18,0.26,0.10,0.28,0.14,0.48,0.22,0.00,0.34,0.34,0.18,0.68,"The Catchtable lunch image confirms banchan as the opening course, so the profile stays broad and palate-awakening rather than strongly dominated by one taste.","Only the course title is visible on the Catchtable image|specific banchan items are not disclosed"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,starter,트러플 뭇국,TRUFFLE MUGUK,무|트러플,soup|broth,earthy aroma|warm savory body|clean soup finish,warm,0.14,0.10,0.04,0.14,0.52,0.16,0.20,0.20,0.42,0.30,0.00,0.54,0.28,0.34,0.76,"The named truffle radish soup implies gentle vegetable sweetness and earthy aromatic umami in a refined warm broth.","Stock base and finishing garnish are not shown on the Catchtable image"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,starter,전복,ABALONE,전복,shellfish preparation,marine umami|clean richness|soft chew,warm,0.04,0.08,0.02,0.18,0.68,0.22,0.24,0.22,0.46,0.34,0.00,0.34,0.36,0.24,0.74,"Abalone usually reads as a focused marine umami course with moderate richness and a refined lingering texture on a formal tasting menu.","Preparation style and sauce are not described on the Catchtable image"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,fish,정식당 연어,JUNGSIK SALMON,연어,composed salmon dish,clean fish oil|modern Korean seasoning|cool savory line,cool,0.04,0.12,0.02,0.16,0.54,0.24,0.34,0.20,0.50,0.28,0.00,0.30,0.30,0.12,0.72,"The salmon course is modeled as a cooler and cleaner fish expression than the lunch mains, with moderate oiliness and a composed finish.","Cure level, garnish, and acid support are not public on the Catchtable menu image"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,main,오리,"DUCK or HANWOO GALBI (+KRW 50,000)",오리,roasting|main-course preparation,savory richness|long finish|meat-centered warmth,warm,0.06,0.10,0.02,0.18,0.64,0.38,0.18,0.46,0.28,0.58,0.10,0.38,0.46,0.46,0.72,"Duck suggests a savory and moderately fatty lunch main with a warm lingering finish, but still lighter than the beef upgrade option.","Only the course title and price-up note are visible on the Catchtable image|cut and glaze are not disclosed"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,main,한우 갈비,"HANWOO GALBI or DUCK (+KRW 50,000)",한우 갈비,grilling|galbi-style preparation,charred beef umami|fatty core|heavier finish,warm,0.08,0.08,0.04,0.20,0.88,0.54,0.16,0.66,0.22,0.76,0.14,0.46,0.56,0.58,0.82,"Hanwoo galbi strongly suggests a denser and richer lunch main with elevated umami, fat, and grilled aroma compared with duck.","The exact cut, marinade balance, and garnish remain unknown from the Catchtable image"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,other,감태국수,"GAMTAE GUKSU, add sea urchin (+KRW 40,000)",감태|국수|성게,noodle composition|optional sea urchin add-on,marine aroma|silky noodle finish|savory seaweed line,warm,0.06,0.08,0.02,0.18,0.68,0.14,0.34,0.16,0.54,0.30,0.00,0.44,0.30,0.24,0.70,"Seaweed noodles emphasize clean marine savoriness, and the sea urchin upcharge points to an optional increase in umami and richness.","Base broth and plating details are not visible on the Catchtable image|sea urchin addition is optional rather than guaranteed"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,dessert,화채,HWACHAE,과일|화채,chilled fruit dessert,bright fruit sweetness|refreshing acidity|light close,cold,0.44,0.40,0.02,0.04,0.06,0.04,0.72,0.08,0.70,0.16,0.00,0.24,0.12,0.08,0.78,"Hwachae reads as a cold and refreshing cleanser with high brightness, keeping the lunch progression light before the final sweets.","Fruit selection and sweetener level are not specified on the Catchtable image"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,dessert,돌하르방,"DOLHAREUBANG or NY-SEOUL",unknown dessert base,dessert plating,earthy sweetness|sculptural finish|soft bitterness,room,0.46,0.12,0.08,0.02,0.04,0.14,0.22,0.26,0.38,0.34,0.00,0.36,0.30,0.18,0.44,"The title suggests a named signature petit dessert rather than a transparent ingredient list, so the profile is kept moderate and exploratory.","The Catchtable image shows only the dessert title|ingredients and exact format are not public"
P1,Jungsik,jungsik-seoul,Yim Jung-sik,Seoul,menu,"Catchtable JUNGSIK Lunch Signature menu image (Last update: 2026-02-28)",https://www.catchtable.net/shop/jungsik/menu?foodMenuSeq=1444674,0.99,2026-02-28 lunch,dessert,NY-SEOUL,"NY-SEOUL or DOLHAREUBANG",unknown dessert base,dessert plating,bright sweet finish|city-signature presentation|clean close,room,0.54,0.22,0.04,0.02,0.04,0.12,0.52,0.18,0.54,0.24,0.00,0.38,0.24,0.14,0.44,"The name points to a signature plated sweet with brighter and cleaner dessert energy than the heavier earthy choices.","The Catchtable image does not disclose the actual ingredient list or plating structure"
