priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,amuse,스낵,Snack,"스낵","공식 PDF 기반 코스명","small opening bite|crisp start",room,0.12,0.08,0.02,0.10,0.18,0.10,0.36,0.12,0.50,0.12,0.00,0.22,0.18,0.08,0.60,"Snack is likely the dinner opener, so the profile assumes a compact, bright first bite with limited heaviness.","The PDF lists only the title and not the composition"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,starter,바다정원,Sea garden,"바다정원","공식 PDF 기반 코스명","marine freshness|herbal salinity",cool,0.02,0.12,0.02,0.20,0.48,0.10,0.54,0.12,0.58,0.18,0.00,0.30,0.20,0.10,0.66,"Sea garden suggests a bright marine course with seaweed or shellfish-like saline freshness and a comparatively clean finish.","Specific ingredients are not shown in the PDF"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,amuse,메주도넛,Meju donut,"메주도넛","공식 PDF 기반 코스명","fermented savoriness|fried bite",warm,0.10,0.04,0.06,0.18,0.64,0.28,0.18,0.34,0.26,0.40,0.02,0.40,0.34,0.18,0.74,"Meju donut implies fermentation-driven umami inside a fried or pastry-like bite, creating richer aroma and moderate fat.","Dough, filling, and fermentation intensity are inferred"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,starter,돼지감자,Jerusalem artichoke,"돼지감자","공식 PDF 기반 코스명","earthy sweetness|root aroma",warm,0.22,0.06,0.04,0.08,0.18,0.12,0.26,0.20,0.48,0.20,0.00,0.30,0.22,0.14,0.62,"Jerusalem artichoke generally reads slightly sweet, earthy, and softer in weight than later protein dishes.","The title alone does not disclose whether this is roasted, pureed, or crisped"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,fish,방어,Yellowtail,"방어","공식 PDF 기반 코스명","clean marine tone|cool savoriness",cool,0.02,0.08,0.02,0.18,0.46,0.10,0.46,0.12,0.58,0.22,0.00,0.24,0.18,0.10,0.72,"Yellowtail keeps the dinner sequence bright and marine before heavier shellfish and meat moments.","Acid, curing, and seasoning remain unknown"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,fish,생선,Fish,"생선","공식 PDF 기반 코스명","seafood course|warm savory profile",warm,0.02,0.06,0.02,0.16,0.54,0.14,0.30,0.18,0.48,0.28,0.00,0.26,0.22,0.20,0.66,"A general fish course likely carries moderate umami with a cleaner finish than meat-based courses.","Species and sauce details are not visible"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,other,미각,Palate,"미각","공식 PDF 기반 코스명","contrast point|reset",room,0.06,0.18,0.04,0.08,0.16,0.04,0.62,0.08,0.70,0.10,0.00,0.20,0.10,0.08,0.50,"Like the lunch version, Palate is treated as a transition course aimed at resetting perception before the next savory push.","Interpretation remains tentative without ingredient disclosure"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,fish,전복,Abalone,"전복","공식 PDF 기반 코스명","dense shellfish umami|firm texture",warm,0.02,0.04,0.02,0.22,0.78,0.22,0.18,0.34,0.30,0.44,0.00,0.34,0.48,0.26,0.76,"Abalone generally increases density, savoriness, and textural weight in the middle of the tasting sequence.","Stock, grilling, or braising treatment is not specified"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,main,오리,Duck,"오리","공식 PDF 기반 코스명","rich poultry fat|aromatic savoriness",hot,0.08,0.04,0.06,0.18,0.62,0.48,0.12,0.64,0.20,0.62,0.04,0.48,0.60,0.30,0.74,"Duck implies a richer aromatic main-course profile with more fat and lingering depth than the seafood section.","Roast, sauce, and smoke level are inferred rather than observed"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,main,갈비,Galbi,"갈비","공식 PDF 기반 코스명","sweet-savory glaze|deep meat umami",hot,0.14,0.06,0.04,0.28,0.82,0.56,0.14,0.72,0.18,0.68,0.10,0.48,0.70,0.42,0.82,"Galbi remains one of the heaviest savory peaks in the menu, with high umami, fat, and linger.","Marinade sweetness and char are inferred from a typical galbi reading"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,dessert,딸기,Strawberry,"딸기","공식 PDF 기반 코스명","bright fruit acidity|sweet finish",cool,0.38,0.26,0.02,0.04,0.08,0.04,0.72,0.06,0.74,0.08,0.00,0.32,0.10,0.06,0.70,"Strawberry near the close of the menu strongly suggests a brighter, sweeter, fruit-led reset into dessert territory.","The course may include dairy or herbs, but those are not visible from the title alone"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,other,버섯,Mushroom,"버섯","공식 PDF 기반 코스명","earthy aroma|soft umami",warm,0.04,0.04,0.08,0.10,0.58,0.12,0.12,0.30,0.36,0.30,0.04,0.54,0.36,0.18,0.64,"The mushroom course likely emphasizes earthy aroma and moderate umami, potentially bridging savory and sweet endings.","Placement relative to strawberry is inferred from the PDF token order"
P1,에빗,evett-seoul,조셉 리저우드,Seoul,pdf_menu,"EVETT 디너 메뉴 PDF 2026-02-06",https://www.restaurantevett.com/_files/ugd/612e5b_fcefb6bb26a94829a685dcc7596ded40.pdf,0.96,2026-02-06 dinner,dessert,마지막 한입,Last bite,"마지막 한입","공식 PDF 기반 코스명","closing petit four|small sweet finish",room,0.34,0.10,0.02,0.06,0.14,0.10,0.38,0.14,0.56,0.18,0.00,0.24,0.18,0.08,0.58,"The final bite is treated as a small closing sweet or petit four with modest weight and short finish.","This could be savory in practice, so the sweetness assumption remains moderate"
