priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,amuse,닭간장 · 용과 · 헤이즐넛,Chicken garum · dragon fruit · hazelnut,닭간장|용과|헤이즐넛,메뉴 이미지 기반 코스명,savory sweet opening,room,0.18,0.10,0.02,0.16,0.28,0.18,0.36,0.18,0.48,0.22,0.00,0.30,0.24,0.10,0.72,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,starter,유청,Whey,유청,메뉴 이미지 기반 코스명,light dairy transition,cool,0.08,0.10,0.00,0.08,0.18,0.14,0.42,0.10,0.62,0.12,0.00,0.18,0.14,0.06,0.58,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,starter,캐모마일 · 관자,능이버섯 · 밤 · 블랙트러플,캐모마일|관자|능이버섯|밤|블랙트러플,메뉴 이미지 기반 코스명,floral shellfish earthy aroma,warm,0.10,0.08,0.06,0.12,0.58,0.24,0.20,0.36,0.34,0.38,0.00,0.56,0.40,0.18,0.80,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,fish,옥돔 · 우엉 · 초피,Tilefish · burdock · chopi,옥돔|우엉|초피,메뉴 이미지 기반 코스명,clean fish peppery finish,warm,0.04,0.10,0.06,0.16,0.54,0.12,0.44,0.16,0.56,0.24,0.00,0.30,0.24,0.22,0.78,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,main,럼프 · 연근 · 벚꽃잎,Rump · lotus root · cherry blossom leaf,럼프|연근|벚꽃잎,메뉴 이미지 기반 코스명,meaty depth botanical finish,warm,0.08,0.08,0.04,0.18,0.62,0.36,0.24,0.48,0.34,0.44,0.00,0.36,0.38,0.18,0.72,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,other,스파게티 · 새조개,당귀잎 · 유자,스파게티|새조개|당귀잎|유자,메뉴 이미지 기반 코스명,briny pasta citrus herb lift,warm,0.10,0.22,0.02,0.18,0.56,0.16,0.58,0.22,0.52,0.26,0.00,0.40,0.32,0.20,0.80,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,dessert,소일,Soil,소일,메뉴 이미지 기반 코스명,earthy dessert bridge,room,0.24,0.08,0.10,0.04,0.12,0.14,0.22,0.24,0.38,0.22,0.00,0.28,0.18,0.06,0.56,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,dessert,호지차 · 메밀 · 요거프레트,Hojicha · buckwheat · yoghofrette,호지차|메밀|요거프레트,메뉴 이미지 기반 코스명,toasty tea grain finish,cool,0.26,0.10,0.06,0.04,0.14,0.18,0.30,0.20,0.54,0.20,0.00,0.44,0.20,0.08,0.62,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,petit_four,쁘띠푸르,Petit four,쁘띠푸르,메뉴 이미지 기반 코스명,small sweet close,room,0.34,0.08,0.02,0.04,0.10,0.10,0.34,0.10,0.62,0.14,0.00,0.20,0.16,0.04,0.56,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 런치 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457718,0.97,2026-03-08 lunch,beverage,커피 · 차,Coffee · tea,커피|차,메뉴 이미지 기반 코스명,closing beverage service,hot,0.06,0.04,0.10,0.00,0.02,0.00,0.12,0.04,0.40,0.08,0.00,0.26,0.02,0.42,0.48,,
