priority,restaurant_name,restaurant_slug,chef_name,city,source_type,source_title,source_url,source_trust_score,season_label,course_position,dish_public_title,dish_public_subtitle,observed_ingredients,observed_techniques,observed_sensory_words,temperature_band,inferred_taste_sweet,inferred_taste_sour,inferred_taste_bitter,inferred_taste_salty,inferred_taste_umami,inferred_taste_fat,inferred_brightness,inferred_heaviness,inferred_clean_finish,inferred_linger,inferred_smoke,inferred_aroma_intensity,inferred_texture_richness,inferred_thermal_impact,inference_confidence,rationale,uncertainty_notes
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,amuse,콜리플라워 · 무 · 서양배,Cauliflower · radish · pear,콜리플라워|무|서양배,메뉴 이미지 기반 코스명,vegetal bright opening,cool,0.18,0.14,0.02,0.08,0.12,0.04,0.58,0.10,0.66,0.10,0.00,0.20,0.16,0.08,0.68,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,starter,아오사 · 무늬오징어 · 금귤,Aosa · big fin squid · kumquat,아오사|무늬오징어|금귤,메뉴 이미지 기반 코스명,marine citrus snap,cool,0.10,0.20,0.02,0.20,0.46,0.08,0.62,0.12,0.60,0.16,0.00,0.30,0.22,0.08,0.70,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,fish,삼치 · 용과 · 헤이즐넛,Japanese Spanish mackerel · dragon fruit · hazelnut,삼치|용과|헤이즐넛,메뉴 이미지 기반 코스명,oily fish fruit accent,cool,0.16,0.10,0.02,0.20,0.52,0.24,0.42,0.24,0.46,0.28,0.00,0.34,0.28,0.10,0.76,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,fish,도화새우 · 미소 · 캐비아,Humpback shrimp · miso · caviar,도화새우|미소|캐비아,메뉴 이미지 기반 코스명,shellfish umami saline pop,cool,0.10,0.04,0.02,0.30,0.72,0.16,0.26,0.26,0.32,0.44,0.00,0.40,0.34,0.08,0.82,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,fish,전복 · 토란,Abalone · taro,전복|토란,메뉴 이미지 기반 코스명,dense shellfish starch body,warm,0.06,0.04,0.02,0.20,0.78,0.22,0.18,0.38,0.28,0.46,0.00,0.28,0.44,0.22,0.78,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,fish,랑구스틴 · 아몬드 · 밤,Langoustine · almond · chestnut,랑구스틴|아몬드|밤,메뉴 이미지 기반 코스명,sweet crustacean nutty richness,warm,0.18,0.06,0.02,0.16,0.60,0.30,0.22,0.34,0.34,0.36,0.00,0.42,0.40,0.18,0.78,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,other,찹쌀 · 블랙송로,관자 · 한련화,찹쌀|블랙송로|관자|한련화,메뉴 이미지 기반 코스명,earthy rice floral shellfish,warm,0.08,0.06,0.06,0.12,0.58,0.18,0.22,0.34,0.38,0.34,0.00,0.48,0.34,0.18,0.74,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,fish,찰옥수수 · 초피,깻잎 · 옥돔,찰옥수수|초피|깻잎|옥돔,메뉴 이미지 기반 코스명,sweet corn peppery fish,warm,0.22,0.10,0.04,0.12,0.44,0.12,0.46,0.20,0.52,0.22,0.00,0.34,0.22,0.18,0.70,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,main,쇼트립 · 땅콩 · 고추냉이잎,Short rib · peanut · wasabi leaf,쇼트립|땅콩|고추냉이잎,메뉴 이미지 기반 코스명,deep meat nutty green heat,hot,0.10,0.06,0.04,0.22,0.80,0.48,0.18,0.68,0.22,0.64,0.04,0.42,0.54,0.28,0.80,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,other,스파게티 · 백합,토마토 · 참외 · 레몬,스파게티|백합|토마토|참외|레몬,메뉴 이미지 기반 코스명,saline pasta bright acidity,warm,0.18,0.28,0.02,0.18,0.48,0.10,0.70,0.16,0.66,0.18,0.00,0.34,0.24,0.18,0.82,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,dessert,마스카포네 · 에스프레소 · 마르살라,Mascarpone · espresso · marsala,마스카포네|에스프레소|마르살라,메뉴 이미지 기반 코스명,rich dairy roasted aroma,cool,0.28,0.06,0.14,0.02,0.12,0.36,0.18,0.42,0.22,0.40,0.00,0.56,0.34,0.06,0.78,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,dessert,딸기 · 유칼립투스,Strawberry · eucalyptus,딸기|유칼립투스,메뉴 이미지 기반 코스명,bright fruit cool aroma,cool,0.36,0.22,0.02,0.02,0.06,0.02,0.82,0.06,0.76,0.10,0.00,0.44,0.10,0.04,0.72,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,petit_four,쁘띠푸르,Petit four,쁘띠푸르,메뉴 이미지 기반 코스명,small sweet close,room,0.34,0.08,0.02,0.04,0.10,0.10,0.34,0.10,0.62,0.14,0.00,0.20,0.16,0.04,0.56,,
P1,알라프리마,allaprima-seoul,김진혁,Seoul,menu,알라프리마 디너 메뉴 2026-03-08 캐치테이블 이미지,http://www.catchtable.net/shop/allaprima/menu?foodMenuSeq=1457719,0.97,2026-03-08 dinner,beverage,커피 · 차,Coffee · tea,커피|차,메뉴 이미지 기반 코스명,closing beverage service,hot,0.06,0.04,0.10,0.00,0.02,0.00,0.12,0.04,0.40,0.08,0.00,0.26,0.02,0.42,0.48,,
